,Week 1 Total,Week 1 Drives,2,Week 2 Success,Week 2 Failure,Running Success,Running Failure,3,Week 3 Success,Week 3 Failure,Running Success,Running Failure,3 Week,4,Week 4 Success,Week 4 Failure,Running Success,Running Failure,,5,Week 5 Success,Week 5 Failure,Running Success,Running Failure,,6,Week 6 Success,Week 6 Failure,Running Success,Running Failure,,7,Week 7 Success,Week 7 Failure,Running Success,Running Failure,,8,Week 8 Success,Week 8 Failure,Running Success,Running Failure,,9,Week 9 Success,Week 9 Failure,Running Success,Running Failure,,10,Week 10 Success,Week 10 Failure,Running Success,Running Failure,,11,Week 11 Success,Week 11 Failure,Running Success,Running Failure,,12,Week 12 Success,Week 12 Failure,Running Success,Running Failure,,13,Week 13 Success,Week 13 Failure,Running Success,Running Failure,,14,Week 14 Success,Week 14 Failure,Running Success,Running Failure,,15,Week 15 Success,Week 15 Failure,Running Success,Running Failure,,16,Week 16 Success,Week 16 Failure,Running Success,Running Failure,,17
NE,292,10,29.2,272,12,564,22,25.63636364,172,13,736,35,21.02857143,21.02857143,210,9,946,44,19.23529412,21.5,269,13,1215,57,18.6,21.31578947,229,10,1444,67,22.125,21.55223881,388,12,1832,79,25.31428571,23.18987342,270,10,2102,89,27.71875,23.61797753,0,0,2102,89,29.90909091,23.61797753,285,10,2387,99,27.75,24.11111111,259,11,2646,110,25.9047619,24.05454545,244,11,2890,121,24.625,23.88429752,326,13,3216,134,23.68571429,24,402,14,3618,148,25.57894737,24.44594595,277,12,3895,160,25.76923077,24.34375,275,12,4170,172,25.10526316,24.24418605
BUF,231,10,23.1,271,11,502,21,23.9047619,452,14,954,35,27.25714286,27.25714286,229,10,1183,45,27.2,26.28888889,233,11,1416,56,26.11428571,25.28571429,368,13,1784,69,24.41176471,25.85507246,307,12,2091,81,25.22222222,25.81481481,345,11,2436,92,28.33333333,26.47826087,306,10,2742,102,29.03030303,26.88235294,0,0,2742,102,31,26.88235294,256,11,2998,113,26.76190476,26.53097345,331,11,3329,124,26.68181818,26.84677419,399,12,3728,136,29,27.41176471,356,11,4084,147,31.94117647,27.78231293,226,10,4310,157,29.72727273,27.4522293,437,13,4747,170,29.97058824,27.92352941
NYJ,288,11,26.18181818,261,10,549,21,26.14285714,273,10,822,31,26.51612903,26.51612903,393,12,1215,43,28.96875,28.25581395,355,11,1570,54,30.93939394,29.07407407,283,11,1853,65,30.32352941,28.50769231,303,12,2156,77,27.67647059,28,267,12,2423,89,24.37142857,27.2247191,347,11,2770,100,26.2,27.7,304,11,3074,111,27,27.69369369,0,0,3074,111,29.59090909,27.69369369,351,11,3425,122,29.77272727,28.07377049,524,12,3949,134,38.04347826,29.47014925,375,13,4324,147,34.72222222,29.41496599,330,12,4654,159,33.21621622,29.27044025,466,12,5120,171,31.64864865,29.94152047
MIA,270,12,22.5,377,12,647,24,26.95833333,349,13,996,37,26.91891892,26.91891892,369,12,1365,49,29.59459459,27.85714286,419,12,1784,61,30.72972973,29.24590164,257,11,2041,72,29.85714286,28.34722222,349,11,2390,83,30.14705882,28.79518072,0,0,2390,83,27.54545455,28.79518072,275,10,2665,93,29.71428571,28.65591398,345,12,3010,105,28.18181818,28.66666667,407,14,3417,119,28.52777778,28.71428571,262,11,3679,130,27.40540541,28.3,344,12,4023,142,27.37837838,28.33098592,411,15,4434,157,26.76315789,28.24203822,409,13,4843,170,29.1,28.48823529,316,14,5159,184,27.04761905,28.03804348
PIT,301,10,30.1,284,15,585,25,23.4,271,10,856,35,24.45714286,24.45714286,294,12,1150,47,22.94594595,24.46808511,232,11,1382,58,24.15151515,23.82758621,407,11,1789,69,27.44117647,25.92753623,326,12,2115,81,28.38235294,26.11111111,0,0,2115,81,31.86956522,26.11111111,432,14,2547,95,29.15384615,26.81052632,309,11,2856,106,29.64,26.94339623,216,8,3072,114,29,26.94736842,244,9,3316,123,27.46428571,26.95934959,412,12,3728,135,30.06896552,27.61481481,311,11,4039,146,30.21875,27.66438356,243,9,4282,155,30.1875,27.62580645,413,11,4695,166,31.19354839,28.28313253
BAL,287,9,31.88888889,283,11,570,20,28.5,473,13,1043,33,31.60606061,31.60606061,558,15,1601,48,33.69230769,33.35416667,314,13,1915,61,32.80487805,31.39344262,241,12,2156,73,27.825,29.53424658,515,14,2671,87,27.43589744,30.70114943,0,0,2671,87,29.07692308,30.70114943,366,15,3037,102,30.37931034,29.7745098,199,11,3236,113,21.73076923,28.63716814,225,9,3461,122,22.57142857,28.36885246,297,11,3758,133,23.25806452,28.2556391,339,11,4097,144,27.77419355,28.45138889,355,14,4452,158,27.52777778,28.17721519,431,12,4883,170,30.40540541,28.72352941,236,11,5119,181,27.62162162,28.28176796
CIN,335,10,33.5,431,14,766,24,31.91666667,313,12,1079,36,29.97222222,29.97222222,250,11,1329,47,26.86486486,28.27659574,236,9,1565,56,24.96875,27.94642857,252,9,1817,65,25.44827586,27.95384615,268,10,2085,75,27,27.8,350,14,2435,89,26.36363636,27.35955056,0,0,2435,89,25.75,27.35955056,342,13,2777,102,25.62962963,27.2254902,365,11,3142,113,29.45833333,27.80530973,310,12,3452,125,28.25,27.616,356,11,3808,136,30.32352941,28,169,10,3977,146,25.3030303,27.23972603,272,9,4249,155,26.56666667,27.41290323,277,11,4526,166,23.93333333,27.26506024
CLE,458,12,38.16666667,330,12,788,24,32.83333333,430,15,1218,39,31.23076923,31.23076923,287,9,1505,48,29.08333333,31.35416667,367,12,1872,60,30.11111111,31.2,392,12,2264,72,31.6969697,31.44444444,200,10,2464,82,28.20588235,30.04878049,369,12,2833,94,28.26470588,30.13829787,257,9,3090,103,26.64516129,30,461,12,3551,115,32.93939394,30.87826087,152,7,3703,122,31.07142857,30.35245902,453,13,4156,135,33.3125,30.78518519,0,0,4156,135,30.25,30.78518519,337,10,4493,145,34.34782609,30.9862069,305,9,4798,154,33.78947368,31.15584416,287,11,5085,165,30.96666667,30.81818182
JAX,235,10,23.5,483,12,718,22,32.63636364,369,13,1087,35,31.05714286,31.05714286,275,11,1362,46,31.30555556,29.60869565,0,0,1362,46,26.83333333,29.60869565,289,11,1651,57,25.63636364,28.96491228,522,13,2173,70,33.79166667,31.04285714,345,12,2518,82,32.11111111,30.70731707,515,14,3033,96,35.43589744,31.59375,336,10,3369,106,33.22222222,31.78301887,280,11,3649,117,32.31428571,31.18803419,309,11,3958,128,28.90625,30.921875,455,14,4413,142,29,31.07746479,395,11,4808,153,32.19444444,31.4248366,474,14,5282,167,33.94871795,31.62874251,396,13,5678,180,33.28947368,31.54444444
TEN,351,10,35.1,263,10,614,20,30.7,316,12,930,32,29.0625,29.0625,308,11,1238,43,26.87878788,28.79069767,212,10,1450,53,25.33333333,27.35849057,250,12,1700,65,23.33333333,26.15384615,297,11,1997,76,23,26.27631579,242,10,2239,86,23.90909091,26.03488372,332,11,2571,97,27.21875,26.50515464,400,13,2971,110,28.64705882,27.00909091,300,11,3271,121,29.48571429,27.03305785,278,11,3549,132,27.94285714,26.88636364,0,0,3549,132,26.27272727,26.88636364,282,11,3831,143,25.45454545,26.79020979,404,11,4235,154,31.18181818,27.5,267,12,4502,166,28.02941176,27.12048193
HOU,301,12,25.08333333,383,13,684,25,27.36,526,13,1210,38,31.84210526,31.84210526,399,13,1609,51,33.53846154,31.54901961,315,11,1924,62,33.51351351,31.03225806,390,12,2314,74,30.66666667,31.27027027,431,13,2745,87,31.55555556,31.55172414,209,10,2954,97,29.42857143,30.45360825,0,0,2954,97,27.82608696,30.45360825,244,10,3198,107,22.65,29.88785047,332,11,3530,118,27.42857143,29.91525424,314,11,3844,129,27.8125,29.79844961,380,10,4224,139,32.0625,30.38848921,267,11,4491,150,30.03125,29.94,340,14,4831,164,28.2,29.45731707,290,12,5121,176,24.24324324,29.09659091
IND,256,11,23.27272727,223,9,479,20,23.95,286,10,765,30,25.5,25.5,327,11,1092,41,27.86666667,26.63414634,237,11,1329,52,26.5625,25.55769231,291,13,1620,65,24.42857143,24.92307692,231,10,1851,75,22.32352941,24.68,452,13,2303,88,27.05555556,26.17045455,365,12,2668,100,29.94285714,26.68,0,0,2668,100,32.68,26.68,224,10,2892,110,26.77272727,26.29090909,221,9,3113,119,23.42105263,26.15966387,220,12,3333,131,21.4516129,25.44274809,397,11,3730,142,26.1875,26.26760563,247,10,3977,152,26.18181818,26.16447368,357,11,4334,163,31.28125,26.58895706
LAC,341,12,28.41666667,264,12,605,24,25.20833333,309,11,914,35,26.11428571,26.11428571,516,14,1430,49,29.43243243,29.18367347,450,12,1880,61,34.45945946,30.81967213,407,14,2287,75,34.325,30.49333333,365,11,2652,86,33.02702703,30.8372093,453,14,3105,100,31.41025641,31.05,288,12,3393,112,29.89189189,30.29464286,282,11,3675,123,27.64864865,29.87804878,0,0,3675,123,24.7826087,29.87804878,357,12,4032,135,27.7826087,29.86666667,268,9,4300,144,29.76190476,29.86111111,559,13,4859,157,34.82352941,30.94904459,457,11,5316,168,38.90909091,31.64285714,283,11,5599,179,37.11428571,31.27932961
