,Week 1 Runs,Week 1 Plays,,2,Week 2 Wins,Week 2 Losses,,3,Week 3 Wins,Week 3 Losses,,4,Week 4 Wins,Week 4 Losses,,5,Week 5 Wins,Week 5 Losses,,6,Week 6 Wins,Week 6 Losses,,7,Week 7 Wins,Week 7 Losses,,8,Week 8 Wins,Week 8 Losses,,9,Week 9 Wins,Week 9 Losses,,10,Week 10 Wins,Week 10 Losses,,11,Week 11 Wins,Week 11 Losses,,12,Week 12 Wins,Week 12 Losses,,13,Week 13 Wins,Week 13 Losses,,14,Week 14 Wins,Week 14 Losses,,15,Week 15 Wins,Week 15 Losses,,16,Week 16 Wins,Week 16 Losses,,17
ARI,19,59,0.2435897436,0.7564102564,30,65,0.3951612903,0.6048387097,22,77,0.3532338308,0.6467661692,25,75,0.347826087,0.652173913,37,66,0.3888888889,0.6111111111,35,70,0.4077669903,0.5922330097,37,90,0.4083665339,0.5916334661,10,64,0.3798586572,0.6201413428,,,0.3798586572,0.6201413428,23,74,0.371875,0.628125,28,70,0.3746478873,0.6253521127,14,61,0.3631647211,0.6368352789,24,72,0.3606168446,0.6393831554,27,63,0.3653421634,0.6346578366,15,56,0.3596673597,0.6403326403,29,57,0.3680078508,0.6319921492
ATL,22,64,0.2558139535,0.7441860465,29,64,0.3984375,0.6015625,31,63,0.4293193717,0.5706806283,25,65,0.41796875,0.58203125,32,62,0.4371069182,0.5628930818,18,64,0.4109947644,0.5890052356,26,63,0.4112359551,0.5887640449,19,56,0.4031936128,0.5968063872,34,70,0.4133099825,0.5866900175,13,48,0.4022617124,0.5977382876,,,0.4022617124,0.5977382876,30,67,0.4067055394,0.5932944606,30,66,0.4109042553,0.5890957447,25,57,0.412855377,0.587144623,41,66,0.4285714286,0.5714285714,24,61,0.4262820513,0.5737179487
BAL,28,65,0.3010752688,0.6989247312,26,71,0.3970588235,0.6029411765,22,64,0.38,0.62,26,80,0.3642857143,0.6357142857,19,69,0.3467048711,0.6532951289,26,76,0.3458823529,0.6541176471,11,57,0.3278008299,0.6721991701,,,0.3278008299,0.6721991701,29,63,0.3431192661,0.6568807339,34,77,0.3553054662,0.6446945338,16,52,0.3516320475,0.6483679525,30,68,0.3598382749,0.6401617251,20,70,0.3534482759,0.6465517241,14,68,0.3420454545,0.6579545455,24,57,0.3468516542,0.6531483458,26,72,0.3478691774,0.6521308226
BUF,24,48,0.3333333333,0.6666666667,19,50,0.4387755102,0.5612244898,32,61,0.4716981132,0.5283018868,32,73,0.4612068966,0.5387931034,27,52,0.4718309859,0.5281690141,44,74,0.4972067039,0.5027932961,22,54,0.4854368932,0.5145631068,26,68,0.4708333333,0.5291666667,38,82,0.4697508897,0.5302491103,,,0.4697508897,0.5302491103,34,63,0.4768,0.5232,29,52,0.4830132939,0.5169867061,30,69,0.4785522788,0.5214477212,18,48,0.4722921914,0.5277078086,40,66,0.4825581395,0.5174418605,49,90,0.4884210526,0.5115789474
CAR,32,68,0.32,0.68,37,78,0.4726027397,0.5273972603,28,72,0.4449541284,0.5550458716,15,64,0.3971631206,0.6028368794,25,53,0.4089552239,0.5910447761,27,76,0.399026764,0.600973236,,,0.399026764,0.600973236,36,64,0.4210526316,0.5789473684,25,62,0.4189944134,0.5810055866,29,69,0.4191419142,0.5808580858,27,62,0.4206586826,0.5793413174,25,56,0.4226519337,0.5773480663,21,54,0.4203084833,0.5796915167,38,67,0.4319526627,0.5680473373,33,72,0.4340239913,0.5659760087,23,68,0.4274111675,0.5725888325
CHI,20,54,0.2702702703,0.7297297297,18,50,0.3653846154,0.6346153846,14,64,0.3095238095,0.6904761905,29,67,0.3446808511,0.6553191489,19,62,0.3367003367,0.6632996633,27,77,0.3395721925,0.6604278075,18,45,0.3460620525,0.6539379475,29,61,0.3625,0.6375,,,0.3625,0.6375,20,54,0.3632958801,0.6367041199,25,59,0.3693086003,0.6306913997,22,76,0.3602391629,0.6397608371,40,59,0.385989011,0.614010989,17,50,0.383033419,0.616966581,19,63,0.3769322235,0.6230677765,26,67,0.377753304,0.622246696
CIN,19,56,0.2533333333,0.7466666667,18,73,0.2868217054,0.7131782946,29,64,0.3419689119,0.6580310881,37,69,0.393129771,0.606870229,19,64,0.3742331288,0.6257668712,32,65,0.3938618926,0.6061381074,30,61,0.407079646,0.592920354,36,81,0.4127579737,0.5872420263,,,0.4127579737,0.5872420263,23,55,0.4132653061,0.5867346939,27,71,0.4097116844,0.5902883156,20,71,0.397260274,0.602739726,33,64,0.4068010076,0.5931989924,38,70,0.4178240741,0.5821759259,28,56,0.422826087,0.577173913,19,63,0.4150559512,0.5849440488
CLE,21,50,0.2957746479,0.7042253521,23,59,0.4036697248,0.5963302752,32,74,0.4153005464,0.5846994536,28,69,0.4126984127,0.5873015873,22,59,0.4051446945,0.5948553055,15,63,0.3770053476,0.6229946524,26,63,0.3821510297,0.6178489703,18,70,0.3648915187,0.6351084813,13,44,0.3593466425,0.6406533575,13,48,0.3522537563,0.6477462437,13,62,0.3388804841,0.6611195159,21,72,0.3342428377,0.6657571623,,,0.3342428377,0.6657571623,22,53,0.3396946565,0.6603053435,21,54,0.3428571429,0.6571428571,29,66,0.3498896247,0.6501103753
DAL,30,75,0.2857142857,0.7142857143,30,64,0.4316546763,0.5683453237,41,65,0.4950980392,0.5049019608,39,73,0.5054151625,0.4945848375,29,54,0.5105740181,0.4894259819,33,62,0.5139949109,0.4860050891,,,0.5139949109,0.4860050891,34,76,0.5031982942,0.4968017058,42,70,0.5157699443,0.4842300557,25,59,0.5066889632,0.4933110368,30,67,0.5007518797,0.4992481203,30,55,0.5041666667,0.4958333333,28,49,0.5084525358,0.4915474642,25,65,0.4988009592,0.5011990408,32,71,0.4950276243,0.5049723757,30,52,0.499477534,0.500522466
DEN,29,57,0.3372093023,0.6627906977,31,65,0.4918032787,0.5081967213,23,60,0.456043956,0.543956044,32,67,0.4618473896,0.5381526104,24,65,0.4426751592,0.5573248408,16,68,0.4057591623,0.5942408377,35,60,0.4298642534,0.5701357466,25,64,0.4249011858,0.5750988142,12,51,0.407540395,0.592459605,37,83,0.4125,0.5875,,,0.4125,0.5875,38,77,0.4211994421,0.5788005579,28,54,0.4280155642,0.5719844358,9,64,0.405988024,0.594011976,17,61,0.3973214286,0.6026785714,14,57,0.388247639,0.611752361
DET,24,64,0.2727272727,0.7272727273,23,67,0.358778626,0.641221374,23,67,0.3535353535,0.6464646465,18,56,0.3464566929,0.6535433071,27,56,0.3709677419,0.6290322581,26,58,0.3831521739,0.6168478261,19,51,0.3818615752,0.6181384248,14,56,0.3663157895,0.6336842105,25,62,0.3705772812,0.6294227188,,,0.3705772812,0.6294227188,21,57,0.3703703704,0.6296296296,19,61,0.3648854962,0.6351145038,23,67,0.3628808864,0.6371191136,28,66,0.3680203046,0.6319796954,19,59,0.3648170012,0.6351829988,20,70,0.358778626,0.641221374
GB,25,60,0.2941176471,0.7058823529,23,64,0.3870967742,0.6129032258,24,50,0.4137931034,0.5862068966,,,0.4137931034,0.5862068966,32,77,0.4143426295,0.5856573705,24,67,0.4025157233,0.5974842767,23,81,0.3784461153,0.6215538847,19,60,0.3703703704,0.6296296296,19,65,0.3606870229,0.6393129771,13,73,0.338358459,0.661641541,19,65,0.333836858,0.666163142,28,67,0.341563786,0.658436214,26,57,0.3498727735,0.6501272265,30,56,0.3622327791,0.6377672209,23,58,0.3644444444,0.6355555556,15,58,0.3580375783,0.6419624217
HOU,35,72,0.3271028037,0.6728971963,34,69,0.4893617021,0.5106382979,27,70,0.4549763033,0.5450236967,24,62,0.4395604396,0.5604395604,14,60,0.4024024024,0.5975975976,28,68,0.4039900249,0.5960099751,25,67,0.3995726496,0.6004273504,31,63,0.4105461394,0.5894538606,,,0.4105461394,0.5894538606,33,61,0.4239864865,0.5760135135,33,74,0.4264264264,0.5735735736,27,65,0.4254445964,0.5745554036,27,64,0.4251572327,0.5748427673,41,67,0.439675174,0.560324826,31,78,0.4361702128,0.5638297872,24,57,0.4353059178,0.5646940822
IND,19,68,0.2183908046,0.7816091954,21,66,0.2985074627,0.7014925373,26,65,0.3316582915,0.6683417085,25,73,0.3345588235,0.6654411765,21,65,0.3323442136,0.6676557864,32,67,0.3564356436,0.6435643564,24,65,0.3582089552,0.6417910448,21,62,0.3559322034,0.6440677966,28,66,0.3634840871,0.6365159129,,,0.3634840871,0.6365159129,28,58,0.3740458015,0.6259541985,23,63,0.3732590529,0.6267409471,40,70,0.3908629442,0.6091370558,15,61,0.3804475854,0.6195524146,40,68,0.3958560523,0.6041439477,24,53,0.3989690722,0.6010309278
JAX,26,68,0.2765957447,0.7234042553,11,63,0.2824427481,0.7175572519,21,63,0.2989690722,0.7010309278,29,65,0.3359073359,0.6640926641,,,0.3359073359,0.6640926641,20,55,0.3407643312,0.6592356688,16,60,0.3288770053,0.6711229947,11,67,0.3038548753,0.6961451247,32,75,0.3217054264,0.6782945736,22,73,0.3191850594,0.6808149406,27,62,0.3302611367,0.6697388633,37,65,0.3519553073,0.6480446927,38,81,0.3638644918,0.6361355082,24,65,0.3642691415,0.6357308585,20,50,0.3662280702,0.6337719298,28,69,0.369011213,0.630988787
KC,19,70,0.2134831461,0.7865168539,19,60,0.2923076923,0.7076923077,27,62,0.3385416667,0.6614583333,18,72,0.3143939394,0.6856060606,,,0.3143939394,0.6856060606,40,64,0.375,0.625,28,52,0.3973684211,0.6026315789,27,71,0.3946784922,0.6053215078,22,57,0.3937007874,0.6062992126,20,61,0.3866432337,0.6133567663,21,52,0.3880837359,0.6119162641,26,76,0.3830703013,0.6169296987,22,48,0.3879194631,0.6120805369,27,54,0.395494368,0.604505632,28,57,0.4018691589,0.5981308411,37,74,0.4096774194,0.5903225806
LAR,23,60,0.2771084337,0.7228915663,25,58,0.406779661,0.593220339,33,60,0.4550561798,0.5449438202,23,55,0.4463519313,0.5536480687,29,64,0.4478114478,0.5521885522,22,55,0.4403409091,0.5596590909,20,76,0.4088785047,0.5911214953,,,0.4088785047,0.5911214953,17,67,0.3878787879,0.6121212121,34,67,0.4021352313,0.5978647687,28,60,0.4083601286,0.5916398714,17,52,0.4020771513,0.5979228487,13,49,0.3928077455,0.6071922545,23,67,0.3886075949,0.6113924051,17,56,0.3829787234,0.6170212766,29,57,0.3909191584,0.6090808416
MIA,20,54,0.2702702703,0.7297297297,16,61,0.3130434783,0.6869565217,25,65,0.3388888889,0.6611111111,13,43,0.331838565,0.668161435,17,41,0.3446969697,0.6553030303,36,68,0.3825301205,0.6174698795,42,68,0.4225,0.5775,,,0.4225,0.5775,32,62,0.4350649351,0.5649350649,25,50,0.44140625,0.55859375,19,57,0.4305799649,0.5694200351,26,58,0.4322169059,0.5677830941,16,58,0.4189781022,0.5810218978,31,57,0.4285714286,0.5714285714,27,46,0.4378172589,0.5621827411,38,68,0.4474299065,0.5525700935
MIN,28,61,0.3146067416,0.6853932584,22,57,0.4237288136,0.5762711864,24,54,0.4302325581,0.5697674419,33,69,0.4439834025,0.5560165975,37,69,0.464516129,0.535483871,,,0.464516129,0.535483871,27,74,0.4453125,0.5546875,18,60,0.4256756757,0.5743243243,25,67,0.4187866928,0.5812133072,21,64,0.4086956522,0.5913043478,24,54,0.4117647059,0.5882352941,16,53,0.4032258065,0.5967741935,19,69,0.3914780293,0.6085219707,29,63,0.3968058968,0.6031941032,9,56,0.3816091954,0.6183908046,20,74,0.3728813559,0.6271186441
