,Week 1 Success,2,Week 2 Success,Running Average,3,Week 3 Success,Running Average,3 Week,4,Week 4 Success,Running Average,,5,Week 5 Success,Running Average,,6,Week 6 Success,Running Average,,7,Week 7 Success,Running Average,,8,Week 8 Success,Running Average,,9,Week 9 Success,Running Average,,10,Week 10 Success,Running Average,,11,Week 11 Success,Running Average,,12,Week 12 Success,Running Average,,13,Week 13 Success,Running Average,,14,Week 14 Success,Running Average,,15,Week 15 Success,Running Average,,16,Week 16 Success,Running Average,,17
ARI,-2,-2,33,15.5,15.5,-15,5.333333333,5.333333333,5.333333333,-4,3,4.666666667,3,12,4.8,-2.333333333,4.8,25,8.166666667,11,8.166666667,0,7,12.33333333,7,-10,4.875,5,4.875,,4.875,-5,4.875,3,4.666666667,-3.5,4.666666667,-6,3.6,-1.5,3.6,-19,1.545454545,-7.333333333,1.545454545,8,2.083333333,-5.666666667,2.083333333,-3,1.692307692,-4.666666667,1.692307692,-7,1.071428571,-0.6666666667,1.071428571,3,1.2,-2.333333333,1.2
ATL,-7,-7,7,0,0,13,4.333333333,4.333333333,4.333333333,15,7,11.66666667,7,7,7,11.66666667,7,-2,5.5,6.666666667,5.5,-3,4.285714286,0.6666666667,4.285714286,1,3.875,-1.333333333,3.875,15,5.111111111,4.333333333,5.111111111,-9,3.7,2.333333333,3.7,,3.7,3,3.7,19,5.090909091,5,5.090909091,-1,4.583333333,9,4.583333333,28,6.384615385,15.33333333,6.384615385,28,7.928571429,18.33333333,7.928571429,17,8.533333333,24.33333333,8.533333333
BAL,6,6,5,5.5,5.5,2,4.333333333,4.333333333,4.333333333,-1,3,2,3,-6,1.2,-1.666666667,1.2,-4,0.3333333333,-3.666666667,0.3333333333,-8,-0.8571428571,-6,-0.8571428571,,-0.8571428571,-6,-0.8571428571,7,0.125,-0.5,0.125,21,2.444444444,14,2.444444444,-10,1.2,6,1.2,5,1.545454545,5.333333333,1.545454545,32,4.083333333,9,4.083333333,-7,3.230769231,10,3.230769231,1,3.071428571,8.666666667,3.071428571,-4,2.6,-3.333333333,2.6
BUF,-6,-6,-6,-6,-6,15,1,1,1,16,4.75,8.333333333,4.75,11,6,14,6,29,9.833333333,18.66666667,9.833333333,-3,8,12.33333333,8,-16,5,3.333333333,5,-6,3.777777778,-8.333333333,3.777777778,,3.777777778,-11,3.777777778,4,3.8,-1,3.8,7,4.090909091,5.5,4.090909091,-14,2.583333333,-1,2.583333333,-7,1.846153846,-4.666666667,1.846153846,20,3.142857143,-0.3333333333,3.142857143,-3,2.733333333,3.333333333,2.733333333
CAR,-1,-1,19,9,9,-12,2,2,2,-15,-2.25,-2.666666667,-2.25,-3,-2.4,-10,-2.4,-3,-2.5,-7,-2.5,,-2.5,-3,-2.5,10,-0.7142857143,3.5,-0.7142857143,3,-0.25,6.5,-0.25,-3,-0.5555555556,3.333333333,-0.5555555556,3,-0.2,1,-0.2,-3,-0.4545454545,-1,-0.4545454545,-33,-3.166666667,-11,-3.166666667,12,-2,-8,-2,11,-1.071428571,-3.333333333,-1.071428571,-17,-2.133333333,2,-2.133333333
CHI,-9,-9,-15,-12,-12,-14,-12.66666667,-12.66666667,-12.66666667,3,-8.75,-8.666666667,-8.75,-6,-8.2,-5.666666667,-8.2,-1,-7,-1.333333333,-7,-16,-8.285714286,-7.666666667,-8.285714286,10,-6,-2.333333333,-6,,-6,-3,-6,-26,-8.222222222,-8,-8.222222222,-6,-8,-16,-8,-6,-7.818181818,-12.66666667,-7.818181818,20,-5.5,2.666666667,-5.5,-3,-5.307692308,3.666666667,-5.307692308,-3,-5.142857143,4.666666667,-5.142857143,-20,-6.133333333,-8.666666667,-6.133333333
CIN,1,1,-8,-3.5,-3.5,-12,-6.333333333,-6.333333333,-6.333333333,15,-1,-1.666666667,-1,-14,-3.6,-3.666666667,-3.6,-18,-6,-5.666666667,-6,14,-3.142857143,-6,-3.142857143,0,-2.75,-1.333333333,-2.75,,-2.75,7,-2.75,-1,-2.555555556,-0.5,-2.555555556,-4,-2.7,-2.5,-2.7,-5,-2.909090909,-3.333333333,-2.909090909,18,-1.166666667,3,-1.166666667,13,-0.07692307692,8.666666667,-0.07692307692,-4,-0.3571428571,9,-0.3571428571,-2,-0.4666666667,2.333333333,-0.4666666667
CLE,-19,-19,-5,-12,-12,-6,-10,-10,-10,-11,-10.25,-7.333333333,-10.25,-20,-12.2,-12.33333333,-12.2,-2,-10.5,-11,-10.5,-14,-11,-12,-11,-3,-10,-6.333333333,-10,-25,-11.66666667,-14,-11.66666667,-21,-12.6,-16.33333333,-12.6,-15,-12.81818182,-20.33333333,-12.81818182,-14,-12.91666667,-16.66666667,-12.91666667,,-12.91666667,-14.5,-12.91666667,-13,-12.92307692,-13.5,-12.92307692,-20,-13.42857143,-16.5,-13.42857143,3,-12.33333333,-10,-12.33333333
DAL,-1,-1,4,1.5,1.5,14,5.666666667,5.666666667,5.666666667,7,6,8.333333333,6,14,7.6,11.66666667,7.6,14,8.666666667,11.66666667,8.666666667,,8.666666667,14,8.666666667,6,8.285714286,10,8.285714286,25,10.375,15.5,10.375,5,9.777777778,12,9.777777778,10,9.8,13.33333333,9.8,5,9.363636364,6.666666667,9.363636364,2,8.75,5.666666667,8.75,-3,7.846153846,1.333333333,7.846153846,6,7.714285714,1.666666667,7.714285714,21,8.6,8,8.6
DEN,1,1,14,7.5,7.5,12,9,9,9,20,11.75,15.33333333,11.75,-7,8,8.333333333,8,-8,5.333333333,1.666666667,5.333333333,18,7.142857143,1,7.142857143,8,7.25,6,7.25,-10,5.333333333,5.333333333,5.333333333,2,5.555555556,0,5.555555556,,5,-4,5,-3,4.272727273,-0.5,4.272727273,10,4.75,3.5,4.75,-3,4.153846154,1.333333333,4.153846154,-13,2.928571429,-2,2.928571429,-23,1.2,-13,1.2
