,Week 1 Success,2,Week 2 Success,Running Average,3,Week 3 Success,Running Average,3 Week,4,Week 4 Success,Running Average,,5,Week 5 Success,Running Average,,6,Week 6 Success,Running Average,,7,Week 7 Success,Running Average,,8,Week 8 Success,Running Average,,9,Week 9 Success,Running Average,,10,Week 10 Success,Running Average,,11,Week 11 Success,Running Average,,12,Week 12 Success,Running Average,,13,Week 13 Success,Running Average,,14,Week 14 Success,Running Average,,15,Week 15 Success,Running Average,,16,Week 16 Success,Running Average,,17
ARI,1561,1561,1743,2523,2523,2040,1781,1781,1781,1929,1818,1904,1818,1904,1835,1957,1835,2162,1889,1998,1889,2781,2017,2282,2017,1752,1984,2231,1984,,1984,2266,1984,1938,1978,1845,1978,1862,1967,1900,1967,1538,1928,1779,1928,2026,1936,1808,1936,1796,1925,1786,1925,1367,1885,1729,1885,1578,1865,1580,1865
ATL,1943,1943,1635,2606,2606,1646,1741,1741,1741,2029,1813,1770,1813,1732,1797,1802,1797,1791,1796,1850,1796,1830,1800,1784,1800,1723,1791,1781,1791,2008,1815,1853,1815,1310,1764,1680,1764,,1764,1659,1764,2062,1791,1686,1791,1912,1801,1987,1801,1628,1788,1867,1788,2161,1815,1900,1815,1965,1825,1918,1825
BAL,1973,1973,1859,2845,2845,1866,1899,1899,1899,2084,1945,1936,1945,1825,1921,1925,1921,2104,1951,2004,1951,1403,1873,1777,1873,,1873,1753,1873,1930,1880,1666,1880,2316,1928,2123,1928,1461,1882,1902,1882,1877,1881,1884,1881,1754,1871,1697,1871,1846,1869,1825,1869,1402,1835,1667,1835,2077,1851,1775,1851
BUF,1627,1627,1248,2061,2061,1560,1478,1478,1478,2171,1651,1659,1651,1466,1614,1732,1614,2111,1697,1916,1697,1378,1651,1651,1651,1809,1671,1766,1671,2417,1754,1868,1754,,1754,2113,1754,1931,1771,2174,1771,1585,1754,1758,1754,1815,1759,1777,1759,1279,1722,1559,1722,2059,1746,1717,1746,2433,1792,1923,1792
CAR,1939,1939,2154,3123,3123,2092,2061,2061,2061,1571,1939,1939,1939,1551,1861,1738,1861,1865,1862,1662,1862,,1862,1708,1862,1848,1860,1856,1860,2052,1884,1950,1884,2112,1909,2004,1909,1665,1884,1943,1884,1583,1857,1786,1857,1559,1832,1602,1832,1957,1842,1699,1842,2079,1859,1865,1859,1635,1844,1890,1844
CHI,1421,1421,1435,2145,2145,1481,1445,1445,1445,1994,1582,1636,1582,1805,1627,1760,1627,2147,1713,1982,1713,1224,1643,1725,1643,1961,1683,1777,1683,,1683,1592,1683,1371,1648,1666,1648,1829,1666,1600,1666,1835,1682,1678,1682,1878,1698,1847,1698,1543,1686,1752,1686,1633,1682,1684,1682,1645,1680,1607,1680
CIN,1507,1507,1625,2378,2378,1926,1686,1686,1686,2282,1835,1944,1835,1937,1855,2048,1855,1923,1866,2047,1866,1692,1841,1850,1841,2118,1876,1911,1876,,1876,1905,1876,1717,1858,1917,1858,1669,1839,1693,1839,1723,1829,1703,1829,1682,1816,1691,1816,2093,1838,1832,1838,1648,1824,1807,1824,1734,1818,1825,1818
CLE,1240,1240,1741,2361,2361,2242,1741,1741,1741,1737,1740,1906,1740,1521,1696,1833,1696,1739,1703,1665,1703,1908,1732,1722,1732,1579,1713,1742,1713,1221,1658,1569,1658,1284,1621,1361,1621,1562,1615,1355,1615,2031,1650,1625,1650,,1650,1796,1650,1507,1639,1769,1639,1541,1632,1524,1632,1949,1653,1665,1653
DAL,2203,2203,1971,3072,3072,2119,2097,2097,2097,2187,2120,2092,2120,1663,2028,1989,2028,1790,1988,1880,1988,,1988,1726,1988,2037,1995,1913,1995,2379,2043,2208,2043,1824,2019,2080,2019,2139,2031,2114,2031,1596,1991,1853,1991,1603,1959,1779,1959,1748,1943,1649,1943,2164,1958,1838,1958,1757,1945,1889,1945
DEN,1661,1661,1841,2671,2671,1674,1725,1725,1725,1884,1765,1799,1765,1868,1785,1808,1785,1592,1753,1781,1753,1838,1765,1766,1765,1612,1746,1680,1746,1112,1675,1520,1675,2362,1938,1695,1938,,1744,1737,1744,2239,1789,2300,1789,1526,1767,1882,1767,1653,1758,1806,1758,1584,1746,1587,1746,1319,1717,1518,1717
